   0.0000000e+00   0.0000000e+00   1.1111111e-01   2.2222222e-01   3.3333333e-01   4.4444444e-01   5.5555556e-01   6.6666667e-01   7.7777778e-01   8.8888889e-01   1.0000000e+00
   1.0000000e-01   2.0000000e-02   1.3111111e-01   2.4222222e-01   3.5333333e-01   4.6444444e-01   5.7555556e-01   6.8666667e-01   7.9777778e-01   9.0888889e-01   1.0200000e+00
   2.0000000e-01   4.0000000e-02   1.5111111e-01   2.6222222e-01   3.7333333e-01   4.8444444e-01   5.9555556e-01   7.0666667e-01   8.1777778e-01   9.2888889e-01   1.0400000e+00
   3.0000000e-01   6.0000000e-02   1.7111111e-01   2.8222222e-01   3.9333333e-01   5.0444444e-01   6.1555556e-01   7.2666667e-01   8.3777778e-01   9.4888889e-01   1.0600000e+00
   4.0000000e-01   8.0000000e-02   1.9111111e-01   3.0222222e-01   4.1333333e-01   5.2444444e-01   6.3555556e-01   7.4666667e-01   8.5777778e-01   9.6888889e-01   1.0800000e+00
   5.0000000e-01   1.0000000e-01   2.1111111e-01   3.2222222e-01   4.3333333e-01   5.4444444e-01   6.5555556e-01   7.6666667e-01   8.7777778e-01   9.8888889e-01   1.1000000e+00
   6.0000000e-01   1.2000000e-01   2.3111111e-01   3.4222222e-01   4.5333333e-01   5.6444444e-01   6.7555556e-01   7.8666667e-01   8.9777778e-01   1.0088889e+00   1.1200000e+00
   7.0000000e-01   1.4000000e-01   2.5111111e-01   3.6222222e-01   4.7333333e-01   5.8444444e-01   6.9555556e-01   8.0666667e-01   9.1777778e-01   1.0288889e+00   1.1400000e+00
   8.0000000e-01   1.6000000e-01   2.7111111e-01   3.8222222e-01   4.9333333e-01   6.0444444e-01   7.1555556e-01   8.2666667e-01   9.3777778e-01   1.0488889e+00   1.1600000e+00
   9.0000000e-01   1.8000000e-01   2.9111111e-01   4.0222222e-01   5.1333333e-01   6.2444444e-01   7.3555556e-01   8.4666667e-01   9.5777778e-01  
