1 0.3 0.09 0.5 0.25 0.7 0.49 0.9 0.81 1.1 1.21
2 0.4 0.16 0.6 0.36 0.8 0.64 1 1 1.2 1.44
3 0.5 0.25 0.7 0.49 0.9 0.81 1.1 1.21 1.3 1.69
4 0.6 0.36 0.8 0.64 1 1 1.2 1.44 1.4 1.96
5 0.7 0.49 0.9 0.81 1.1 1.21 1.3 1.69 1.5 2.25
6 0.8 0.64 1 1 1.2 1.44 1.4 1.96 1.6 2.56
7 0.9 0.81 1.1 1.21 1.3 1.69 1.5 2.25 1.7 2.89
8 1 1 1.2 1.44 1.4 1.96 1.6 2.56 1.8 3.24
9 1.1 1.21 1.3 1.69 1.5 2.25 1.7 2.89 1.9 3.61
10 1.2 1.44 1.4 1.96 1.6 2.56 1.8 3.24 2 4
11 1.3 1.69 1.5 2.25 1.7 2.89 1.9 3.61 2.1 4.41
12 1.4 1.96 1.6 2.56 1.8 3.24 2 4 2.2 4.84
13 1.5 2.25 1.7 2.89 1.9 3.61 2.1 4.41 2.3 5.29
14 1.6 2.56 1.8 3.24 2 4 2.2 4.84 2.4 5.76
15 1.7 2.89 1.9 3.61 2.1 4.41 2.3 5.29 2.5 6.25
16 1.8 3.24 2 4 2.2 4.84 2.4 5.76 2.6 6.76
17 1.9 3.61 2.1 4.41 2.3 5.29 2.5 6.25 2.7 7.29
18 2 4 2.2 4.84 2.4 5.76 2.6 6.76 2.8 7.84
19 2.1 4.41 2.3 5.29 2.5 6.25 2.7 7.29 2.9 8.41
20 2.2 4.84 2.4 5.76 2.6 6.76 2.8 7.84 3 9
21 2.3 5.29 2.5 6.25 2.7 7.29 2.9 8.41 3.1 9.61
22 2.4 5.76 2.6 6.76 2.8 7.84 3 9 3.2 10.24
23 2.5 6.25 2.7 7.29 2.9 8.41 3.1 9.61 3.3 10.89
24 2.6 6.76 2.8 7.84 3 9 3.2 10.24 3.4 11.56
25 2.7 7.29 2.9 8.41 3.1 9.61 3.3 10.89 3.5 12.25
26 2.8 7.84 3 9 3.2 10.24 3.4 11.56 3.6 12.96
27 2.9 8.41 3.1 9.61 3.3 10.89 3.5 12.25 3.7 13.69
28 3 9 3.2 10.24 3.4 11.56 3.6 12.96 3.8 14.44
29 3.1 9.61 3.3 10.89 3.5 12.25 3.7 13.69 3.9 15.21
30 3.2 10.24 3.4 11.56 3.6 12.96 3.8 14.44 4 16
31 3.3 10.89 3.5 12.25 3.7 13.69 3.9 15.21 4.1 16.81
32 3.4 11.56 3.6 12.96 3.8 14.44 4 16 4.2 17.64
33 3.5 12.25 3.7 13.69 3.9 15.21 4.1 16.81 4.3 18.49
34 3.6 12.96 3.8 14.44 4 16 4.2 17.64 4.4 19.36
35 3.7 13.69 3.9 15.21 4.1 16.81 4.3 18.49 4.5 20.25
36 3.8 14.44 4 16 4.2 17.64 4.4 19.36 4.6 21.16
37 3.9 15.21 4.1 16.81 4.3 18.49 4.5 20.25 4.7 22.09
38 4 16 4.2 17.64 4.4 19.36 4.6 21.16 4.8 23.04
39 4.1 16.81 4.3 18.49 4.5 20.25 4.7 22.09 4.9 24.01
40 4.2 17.64 4.4 19.36 4.6 21.16 4.8 23.04 5 25
41 4.3 18.49 4.5 20.25 4.7 22.09 4.9 24.01 5.1 26.01
42 4.4 19.36 4.6 21.16 4.8 23.04 5 25 5.2 27.04
43 4.5 20.25 4.7 22.09 4.9 24.01 5.1 26.01 5.3 28.09
44 4.6 21.16 4.8 23.04 5 25 5.2 27.04 5.4 29.16
45 4.7 22.09 4.9 24.01 5.1 26.01 5.3 28.09 5.5 30.25
46 4.8 23.04 5 25 5.2 27.04 5.4 29.16 5.6 31.36
47 4.9 24.01 5.1 26.01 5.3 28.09 5.5 30.25 5.7 32.49
48 5 25 5.2 27.04 5.4 29.16 5.6 31.36 5.8 33.64
49 5.1 26.01 5.3 28.09 5.5 30.25 5.7 32.49 5.9 34.81
50 5.2 27.04 5.4 29.16 5.6 31.36 5.8 33.64 6 36
51 5.3 28.09 5.5 30.25 5.7 32.49 5.9 34.81 6.1 37.21
52 5.4 29.16 5.6 31.36 5.8 33.64 6 36 6.2 38.44
53 5.5 30.25 5.7 32.49 5.9 34.81 6.1 37.21 6.3 39.69
54 5.6 31.36 5.8 33.64 6 36 6.2 38.44 6.4 40.96
55 5.7 32.49 5.9 34.81 6.1 37.21 6.3 39.69 6.5 42.25
56 5.8 33.64 6 36 6.2 38.44 6.4 40.96 6.6 43.56
57 5.9 34.81 6.1 37.21 6.3 39.69 6.5 42.25 6.7 44.89
58 6 36 6.2 38.44 6.4 40.96 6.6 43.56 6.8 46.24
59 6.1 37.21 6.3 39.69 6.5 42.25 6.7 44.89 6.9 47.61
60 6.2 38.44 6.4 40.96 6.6 43.56 6.8 46.24 7 49
61 6.3 39.69 6.5 42.25 6.7 44.89 6.9 47.61 7.1 50.41
62 6.4 40.96 6.6 43.56 6.8 46.24 7 49 7.2 51.84
63 6.5 42.25 6.7 44.89 6.9 47.61 7.1 50.41 7.3 53.29
64 6.6 43.56 6.8 46.24 7 49 7.2 51.84 7.4 54.76
65 6.7 44.89 6.9 47.61 7.1 50.41 7.3 53.29 7.5 56.25
66 6.8 46.24 7 49 7.2 51.84 7.4 54.76 7.6 57.76
67 6.9 47.61 7.1 50.41 7.3 53.29 7.5 56.25 7.7 59.29
68 7 49 7.2 51.84 7.4 54.76 7.6 57.76 7.8 60.84
69 7.1 50.41 7.3 53.29 7.5 56.25 7.7 59.29 7.9 62.41
70 7.2 51.84 7.4 54.76 7.6 57.76 7.8 60.84 8 64
71 7.3 53.29 7.5 56.25 7.7 59.29 7.9 62.41 8.1 65.61
72 7.4 54.76 7.6 57.76 7.8 60.84 8 64 8.2 67.24
73 7.5 56.25 7.7 59.29 7.9 62.41 8.1 65.61 8.3 68.89
74 7.6 57.76 7.8 60.84 8 64 8.2 67.24 8.4 70.56
75 7.7 59.29 7.9 62.41 8.1 65.61 8.3 68.89 8.5 72.25
76 7.8 60.84 8 64 8.2 67.24 8.4 70.56 8.6 73.96
77 7.9 62.41 8.1 65.61 8.3 68.89 8.5 72.25 8.7 75.69
78 8 64 8.2 67.24 8.4 70.56 8.6 73.96 8.8 77.44
79 8.1 65.61 8.3 68.89 8.5 72.25 8.7 75.69 8.9 79.21
80 8.2 67.24 8.4 70.56 8.6 73.96 8.8 77.44 9 81
81 8.3 68.89 8.5 72.25 8.7 75.69 8.9 79.21 9.1 82.81
82 8.4 70.56 8.6 73.96 8.8 77.44 9 81 9.2 84.64
83 8.5 72.25 8.7 75.69 8.9 79.21 9.1 82.81 9.3 86.49
84 8.6 73.96 8.8 77.44 9 81 9.2 84.64 9.4 88.36
85 8.7 75.69 8.9 79.21 9.1 82.81 9.3 86.49 9.5 90.25
86 8.8 77.44 9 81 9.2 84.64 9.4 88.36 9.6 92.16
87 8.9 79.21 9.1 82.81 9.3 86.49 9.5 90.25 9.7 94.09
88 9 81 9.2 84.64 9.4 88.36 9.6 92.16 9.8 96.04
89 9.1 82.81 9.3 86.49 9.5 90.25 9.7 94.09 9.9 98.01
90 9.2 84.64 9.4 88.36 9.6 92.16 9.8 96.04 10 100
91 9.3 86.49 9.5 90.25 9.7 94.09 9.9 98.01 10.1 102.01
92 9.4 88.36 9.6 92.16 9.8 96.04 10 100 10.2 104.04
93 9.5 90.25 9.7 94.09 9.9 98.01 10.1 102.01 10.3 106.09
94 9.6 92.16 9.8 96.04 10 100 10.2 104.04 10.4 108.16
95 9.7 94.09 9.9 98.01 10.1 102.01 10.3 106.09 10.5 110.25
96 9.8 96.04 10 100 10.2 104.04 10.4 108.16 10.6 112.36
97 9.9 98.01 10.1 102.01 10.3 106.09 10.5 110.25 10.7 114.49
98 10 100 10.2 104.04 10.4 108.16 10.6 112.36 10.8 116.64
99 10.1 102.01 10.3 106.09 10.5 110.25 10.7 114.49 10.9 118.81
100 10.2 104.04 10.4 108.16 10.6 112.36 10.8 116.64 11 121
